Energy Count
1.904999 1
1.914999 2
1.924999 2
1.934999 2
1.944999 1
1.954998 0
1.964998 0
1.974998 1
1.984998 1
1.994998 4
2.004998 0
2.014998 0
2.024999 1
2.034998 0
2.044999 0
2.054998 1
2.064999 0
2.074998 0
2.084999 0
2.094998 3
2.104999 1
2.114998 0
2.124999 3
2.134998 1
2.144999 1
2.154998 0
2.164999 1
2.174998 1
2.184999 0
2.194998 1
2.204998 1
2.214998 0
2.224998 0
2.234998 1
2.244998 0
2.254998 0
2.264998 2
2.274998 2
2.284998 1
2.294998 0
2.304998 1
2.314998 0
2.324998 2
2.334998 1
2.344998 0
2.354998 0
2.364998 0
2.374998 0
2.384998 0
2.394998 1
2.404998 2
2.414998 1
2.424998 0
2.434998 0
2.444998 1
2.454998 0
2.464998 1
2.474998 0
2.484998 0
2.494998 0
2.504998 1
2.514998 0
2.524998 3
2.534998 1
2.544998 3
2.554998 0
2.564998 2
2.574998 0
2.584998 1
2.594998 2
2.604998 1
2.614998 0
2.624998 0
2.634998 0
2.644998 0
2.654998 1
2.664998 2
2.674998 1
2.684998 0
2.694998 0
2.704998 1
2.714998 0
2.724998 0
2.734998 0
2.744998 0
2.754998 0
2.764998 1
2.774998 0
2.784998 1
2.794998 0
2.804998 2
2.814998 1
2.824998 0
2.834998 1
2.844998 1
2.854998 0
2.864998 1
2.874998 1
2.884998 0
2.894998 0
2.904998 0
2.914998 1
2.924998 2
2.934998 1
2.944998 0
2.954998 1
2.964998 1
2.974998 1
2.984998 0
2.994998 0
3.004998 0
3.014997 0
3.024998 1
3.034997 0
3.044998 1
3.054997 1
3.064998 2
3.074997 0
3.084998 0
3.094997 0
3.104998 0
3.114997 0
3.124998 0
3.134997 1
3.144998 1
3.154997 1
3.164998 2
3.174997 0
3.184998 0
3.194997 1
3.204998 0
3.214997 1
3.224998 1
3.234997 1
3.244998 2
3.254997 1
3.264997 1
3.274997 0
3.284997 0
3.294997 1
3.304997 0
3.314997 1
3.324997 0
3.334997 0
3.344997 0
3.354997 2
3.364997 2
3.374997 0
3.384997 1
3.394997 0
3.404997 1
3.414997 0
3.424997 1
3.434997 0
3.444997 0
3.454997 1
3.464997 0
3.474997 0
3.484997 1
3.494997 0
3.504997 1
3.514997 0
3.524997 1
3.534997 1
3.544997 0
3.554997 0
3.564997 2
3.574997 0
3.584997 1
3.594997 0
3.604997 2
3.614997 0
3.624997 1
3.634997 0
3.644997 0
3.654997 1
3.664997 0
3.674997 1
3.684997 1
3.694997 1
3.704997 0
3.714997 0
3.724997 0
3.734997 0
3.744997 2
3.754997 1
3.764997 0
3.774997 1
3.784997 0
3.794997 0
3.804997 1
3.814997 1
3.824997 0
3.834997 0
3.844997 2
3.854997 0
3.864997 0
3.874997 1
3.884997 0
3.894997 0
3.904997 0
3.914997 1
3.924997 0
3.934997 0
3.944997 0
3.954997 1
3.964997 0
3.974997 0
3.984997 0
3.994997 0
4.004997 0
4.014997 0
4.024997 0
4.034997 0
4.044998 1
4.054998 0
4.064998 0
4.074998 0
4.084999 0
4.094999 0
4.104999 0
4.114999 0
4.125 0
4.135 0
4.145 1
4.155 0
4.165 1
4.175001 0
4.185001 0
4.195001 0
4.205001 0
4.215002 0
4.225002 0
4.235002 0
4.245002 0
4.255002 0
4.265003 2
4.275003 1
4.285003 0
4.295003 0
4.305004 1
4.315004 1
4.325004 1
4.335004 1
4.345005 0
4.355005 0
4.365005 1
4.375005 0
4.385005 0
4.395006 1
4.405006 0
4.415006 1
4.425006 0
4.435007 0
